pacbio_2016-03-08_335_Kun1_349,pacbio_2016-03-08_335_Kun.1
pacbio_2016-03-18_336Sunny_nexteraMIX_350,pacbio_2016-03-18_336Sunn.1
pacbio_2016-03-21_1xizw_7xdkfzsmall_ALLMAGB_353,pacbio_2016-03-21_1xizw_7.1
pacbio_2016-03-23_8xdkfz_356,pacbio_2016-03-23_8xdkfz_.1
pacbio_2016-05-09_dkfz346_347_348_342_343_332_333_334_360,pacbio_2016-05-09_dkfz346.1
pacbio_2016-05-12_360sunnynextera361meishengII_361,pacbio_2016-05-12_360sunn.1
pacbio_2016-05-17_349_350_351_352_353_354_355_331_363,pacbio_2016-05-17_349_350.1
pacbio_2016-05-23_683_684_685_362_346_334_333_325_365,pacbio_2016-05-23_683_684.1
pacbio_2016-05-26_346_358_322_323_324_326_329_330_366,pacbio_2016-05-26_346_358.1
pacbio_2016-05-xx_334_325_326_327_328_329_330_341II_362,pacbio_2016-05-xx_334_325.1
pacbio_2016-06-15_358_363-369_368,pacbio_2016-06-15_358_363.1
pacbio_2016-07-19_358marb_370-376dkfz_370,pacbio_2016-07-19_358marb.1
pacbio_2016-07-21_377-381_364_364_367_371,pacbio_2016-07-21_377-381.1
pacbio_2016-08-25_dkfz_Zinssen_375,pacbio_2016-08-25_dkfz_Zi.1
pacbio_2016-08-29_3x406zinss_382_393_384_385_395_376,pacbio_2016-08-29_3x406zi.1
pacbio_2016-08-31_386-389_397_400-402_377,pacbio_2016-08-31_386-389.1
pacbio_2016-09-02_sunny_pcrproductsPCDHzebrafish_378,pacbio_2016-09-02_sunny_p.1
pacbio_2016-10-07_411_nkm_7kb_380,pacbio_2016-10-07_411_nkm.1
pacbio_2016-10-25_412-419_382,pacbio_2016-10-25_412-419.1
pacbio_2016-10-26__414__420-_423_383,pacbio_2016-10-26__414__4.1
pacbio_2016-10-28_dkfz424-430_448IZW_384,pacbio_2016-10-28_dkfz424.1
pacbio_2016-10-31_431-438_dkfz_385,pacbio_2016-10-31_431-438.1
pacbio_2016-11-28_8xdkfz_438-445_388,pacbio_2016-11-28_8xdkfz_.1
pacbio_2016-11-30_4xdkfz_389,pacbio_2016-11-30_4xdkfz_.1
pacbio_2016-12-07_8xdkfzmouse35587_390,pacbio_2016-12-07_8xdkfzm.1
pacbio_2016-12-09_8xdkfzmouse35587_391,pacbio_2016-12-09_8xdkfzm.1
pacbio_2016-12-15_8xdkfzmouse35587_392,pacbio_2016-12-15_8xdkfzm.1
pacbio_2016-12-19_dkfz_2xmouse35587_6xctrl_393,pacbio_2016-12-19_dkfz_2x.1
pacbio_2016-12-22_dkfz_2_8_394,pacbio_2016-12-22_dkfz_2_.1
pacbio_20160201_David_278-285_1-8_344,pacbio_20160201_David_278.1
pacbio_20160502_359msx_360sunnynextera_2xDIFF_358,pacbio_20160502_359msx_36.1
pacbio_2017-01-09_2xdkfz_6xizw_398,pacbio_2017-01-09_2xdkfz_.1
pacbio_2017-01-11_8xizw_399,pacbio_2017-01-11_8xizw_3.1
pacbio_2017-01-13_8xizw_400,pacbio_2017-01-13_8xizw_4.1
pacbio_2017-01-16_8xizw_401,pacbio_2017-01-16_8xizw_4.1
pacbio_2017-01-31_2dkfz_6dkfz_402,pacbio_2017-01-31_2dkfz_6.1
pacbio_2017-02-02_8xdkfz_403,pacbio_2017-02-02_8xdkfz_.1
pacbio_2017-02-07_8xdkfz_404,pacbio_2017-02-07_8xdkfz_.1
pacbio_2017-02-16_8xdkfz_405,pacbio_2017-02-16_8xdkfz_.1
pacbio_2017-02-20_8xdkfz_406,pacbio_2017-02-20_8xdkfz_.1
pacbio_2017-02-23_4xdkfz_407,pacbio_2017-02-23_4xdkfz_.1
pacbio_2017-03-08_6xdkfz_409,pacbio_2017-03-08_6xdkfz_.1
pacbio_2017-03-10_1xdkfz_1xgiota_1xsalah_410,pacbio_2017-03-10_1xdkfz_.1
pacbio_2017_03-06_8xdkfz_408,pacbio_2017_03-06_8xdkfz_.1
pacbio_26-02-2013_LAMBDA_1xsmrtcell_162,pacbio_26-02-2013_LAMBDA_.1
pacbio_27Sept_Lambda_2kB_prebound_complex_2_23,pacbio_27Sept_Lambda_2kB_.1
